Pays;CODE;Cat;Nom;Fréquence;Altitude;Latitude;Longitude
LF;LFQN;AD;Saint Omer Wizernes (62);123.5;249;50.7294;2.23583;
LF;LFVP;AD;Saint Pierre;118.5;27;46.7631;-56.1742;
LF;LFDP;AD;Saint Pierre d'Oléron (17);120.2;22;45.9578;-1.31139;
LF;LFOW;AD;Saint Quentin Roupy (02);123.5;325;49.8169;3.20667;
LF;LFLR;AD;Saint Rambert d'Albon (26);123.5;509;45.255;4.82472;
LF;LFOS;AD;Saint Valéry Vittefleur (76);123.5;269;49.8353;0.655833;
LF;LFLN;AD;Saint Yan (71);122.3;796;46.4064;4.02111;
LF;LFDF;AD;Sainte Foy La Grande (33);123.5;282;44.8525;0.175556;
LF;LFYS;AD;Sainte Léocadie (66);118.625;4331;42.4472;2.01083;
LF;LFXB;AD;Saintes Thénac (17);122.4;118;45.7019;-0.636111;
LF;LFMY;AD;Salon de Provence (13);122.1;197;43.6031;5.10833;
LF;LFNE;AD;Salon Eyguières (13);119.575;247;43.6575;5.01278;
LF;LFDS;AD;Sarlat Domme (24);118.15;979;44.7922;1.24361;
LF;LFGT;AD;Sarrebourg Buhl (57);123.5;873;48.7183;7.08;
LF;LFGU;AD;Sarreguemines Neunkirch (57);123.5;863;49.1275;7.10667;
LF;LFEW;AD;Saulieu Liernais (21);123.5;1713;47.2386;4.26444;
LF;LFOD;AD;Saumur Saint Florent (49);120.6;269;47.2567;-0.113611;
LF;LFSJ;AD;Sedan Douzy (08);123.5;513;49.6589;5.03667;
LF;LFGQ;AD;Semur en Auxois (21);123.5;1051;47.4811;4.34306;
LF;LFFZ;AD;Sézanne Saint Rémy (51);123.5;355;48.7094;3.76278;
LF;LFJS;AD;Soissons Courmelles (02);120.375;518;49.345;3.28306;
LF;LFKS;AD;Solenzara (20);118.35;28;41.9264;9.40528;
LF;LFDK;AD;Soulac sur Mer (33);118.45;11;45.4939;-1.08389;
LF;LFST;AD;Strasbourg Entzheim (67);119.25;505;48.5419;7.63444;
LF;LFGC;AD;Strasbourg Neuhof (67);126.875;459;48.5536;7.7775;
